ID	COST_1	SIZE_1	STORAGE_1	CAM_1	COST_2	SIZE_2	STORAGE_2	CAM_2	COST_3	SIZE_3	STORAGE_3	CAM_3	CHOICE	GENDER	INC	AVAIL_1	AVAIL_2	AVAIL_3
15	400	5.8	32	1	700	6.4	256	3	700	6	64	2	1	0	2	1	1	1
15	400	5.8	64	4	500	6.2	64	1	500	6.4	128	1	3	0	2	1	1	1
15	700	6	64	2	400	5.8	256	1	600	6.4	32	4	3	0	2	1	1	1
15	600	6.2	256	3	500	6	32	2	500	5.8	32	2	1	0	2	1	1	1
15	500	5.8	128	2	500	6	64	2	400	6.2	128	3	3	0	2	1	1	1
15	400	6.2	32	1	600	5.8	128	4	700	6	64	3	2	0	2	1	1	1
15	700	6	128	3	700	6.2	128	3	400	6.2	32	1	1	0	2	1	1	1
15	500	6.4	32	4	600	6	64	2	400	5.8	256	1	1	0	2	1	1	1
16	500	6.4	256	1	400	5.8	32	4	600	6	64	2	2	1	1	1	1	1
16	600	6	64	2	400	6.4	32	1	500	5.8	256	4	3	1	1	1	1	1
16	400	5.8	32	1	700	6.4	256	3	700	6	64	2	3	1	1	1	1	1
16	400	5.8	64	4	500	6.2	64	1	500	6.4	128	1	1	1	1	1	1	1
16	700	6	64	2	400	5.8	256	1	600	6.4	32	4	2	1	1	1	1	1
16	600	6.2	256	3	500	6	32	2	500	5.8	32	2	1	1	1	1	1	1
16	500	5.8	128	2	500	6	64	2	400	6.2	128	3	3	1	1	1	1	1
16	400	6.2	32	1	600	5.8	128	4	700	6	64	3	1	1	1	1	1	1
16	700	6	128	3	700	6.2	128	3	400	6.2	32	1	3	1	1	1	1	1
16	500	6.4	32	4	600	6	64	2	400	5.8	256	1	2	1	1	1	1	1
17	500	6.4	256	1	400	5.8	32	4	600	6	64	2	2	0	1	1	1	1
17	600	6	64	2	400	6.4	32	1	500	5.8	256	4	3	0	1	1	1	1
17	400	5.8	32	1	700	6.4	256	3	700	6	64	2	1	0	1	1	1	1
17	400	5.8	64	4	500	6.2	64	1	500	6.4	128	1	2	0	1	1	1	1
17	700	6	64	2	400	5.8	256	1	600	6.4	32	4	3	0	1	1	1	1
17	600	6.2	256	3	500	6	32	2	500	5.8	32	2	1	0	1	1	1	1
17	500	5.8	128	2	500	6	64	2	400	6.2	128	3	3	0	1	1	1	1
17	400	6.2	32	1	600	5.8	128	4	700	6	64	3	1	0	1	1	1	1
17	700	6	128	3	700	6.2	128	3	400	6.2	32	1	3	0	1	1	1	1
17	500	6.4	32	4	600	6	64	2	400	5.8	256	1	3	0	1	1	1	1
18	500	6.4	256	1	400	5.8	32	4	600	6	64	2	2	1	2	1	1	1
18	600	6	64	2	400	6.4	32	1	500	5.8	256	4	3	1	2	1	1	1
18	400	5.8	32	1	700	6.4	256	3	700	6	64	2	1	1	2	1	1	1
18	400	5.8	64	4	500	6.2	64	1	500	6.4	128	1	1	1	2	1	1	1
18	700	6	64	2	400	5.8	256	1	600	6.4	32	4	3	1	2	1	1	1
18	600	6.2	256	3	500	6	32	2	500	5.8	32	2	1	1	2	1	1	1
18	500	5.8	128	2	500	6	64	2	400	6.2	128	3	3	1	2	1	1	1
18	400	6.2	32	1	600	5.8	128	4	700	6	64	3	1	1	2	1	1	1
18	700	6	128	3	700	6.2	128	3	400	6.2	32	1	3	1	2	1	1	1
18	500	6.4	32	4	600	6	64	2	400	5.8	256	1	3	1	2	1	1	1
19	500	6.4	256	1	400	5.8	32	4	600	6	64	2	2	0	2	1	1	1
19	600	6	64	2	400	6.4	32	1	500	5.8	256	4	3	0	2	1	1	1
19	400	5.8	32	1	700	6.4	256	3	700	6	64	2	2	0	2	1	1	1
19	400	5.8	64	4	500	6.2	64	1	500	6.4	128	1	1	0	2	1	1	1
19	700	6	64	2	400	5.8	256	1	600	6.4	32	4	3	0	2	1	1	1
19	600	6.2	256	3	500	6	32	2	500	5.8	32	2	1	0	2	1	1	1
19	500	5.8	128	2	500	6	64	2	400	6.2	128	3	3	0	2	1	1	1
19	400	6.2	32	1	600	5.8	128	4	700	6	64	3	1	0	2	1	1	1
19	700	6	128	3	700	6.2	128	3	400	6.2	32	1	3	0	2	1	1	1
19	500	6.4	32	4	600	6	64	2	400	5.8	256	1	1	0	2	1	1	1
20	500	6.4	256	1	400	5.8	32	4	600	6	64	2	2	0	1	1	1	1
20	600	6	64	2	400	6.4	32	1	500	5.8	256	4	2	0	1	1	1	1
20	400	5.8	32	1	700	6.4	256	3	700	6	64	2	2	0	1	1	1	1
20	400	5.8	64	4	500	6.2	64	1	500	6.4	128	1	2	0	1	1	1	1
20	700	6	64	2	400	5.8	256	1	600	6.4	32	4	2	0	1	1	1	1
20	600	6.2	256	3	500	6	32	2	500	5.8	32	2	1	0	1	1	1	1
20	500	5.8	128	2	500	6	64	2	400	6.2	128	3	3	0	1	1	1	1
20	400	6.2	32	1	600	5.8	128	4	700	6	64	3	1	0	1	1	1	1
20	700	6	128	3	700	6.2	128	3	400	6.2	32	1	3	0	1	1	1	1
20	500	6.4	32	4	600	6	64	2	400	5.8	256	1	1	0	1	1	1	1
21	500	6.4	256	1	400	5.8	32	4	600	6	64	2	2	1	1	1	1	1
21	600	6	64	2	400	6.4	32	1	500	5.8	256	4	3	1	1	1	1	1
21	400	5.8	32	1	700	6.4	256	3	700	6	64	2	1	1	1	1	1	1
21	400	5.8	64	4	500	6.2	64	1	500	6.4	128	1	1	1	1	1	1	1
21	700	6	64	2	400	5.8	256	1	600	6.4	32	4	3	1	1	1	1	1
21	600	6.2	256	3	500	6	32	2	500	5.8	32	2	1	1	1	1	1	1
21	500	5.8	128	2	500	6	64	2	400	6.2	128	3	3	1	1	1	1	1
21	400	6.2	32	1	600	5.8	128	4	700	6	64	3	1	1	1	1	1	1
21	700	6	128	3	700	6.2	128	3	400	6.2	32	1	3	1	1	1	1	1
21	500	6.4	32	4	600	6	64	2	400	5.8	256	1	1	1	1	1	1	1
22	500	6.4	256	1	400	5.8	32	4	600	6	64	2	2	0	2	1	1	1
22	600	6	64	2	400	6.4	32	1	500	5.8	256	4	3	0	2	1	1	1
22	400	5.8	32	1	700	6.4	256	3	700	6	64	2	2	0	2	1	1	1
22	400	5.8	64	4	500	6.2	64	1	500	6.4	128	1	3	0	2	1	1	1
22	700	6	64	2	400	5.8	256	1	600	6.4	32	4	3	0	2	1	1	1
22	600	6.2	256	3	500	6	32	2	500	5.8	32	2	1	0	2	1	1	1
22	500	5.8	128	2	500	6	64	2	400	6.2	128	3	3	0	2	1	1	1
22	400	6.2	32	1	600	5.8	128	4	700	6	64	3	1	0	2	1	1	1
22	700	6	128	3	700	6.2	128	3	400	6.2	32	1	3	0	2	1	1	1
22	500	6.4	32	4	600	6	64	2	400	5.8	256	1	1	0	2	1	1	1
23	500	6.4	256	1	400	5.8	32	4	600	6	64	2	2	0	1	1	1	1
23	600	6	64	2	400	6.4	32	1	500	5.8	256	4	3	0	1	1	1	1
23	400	5.8	32	1	700	6.4	256	3	700	6	64	2	2	0	1	1	1	1
23	400	5.8	64	4	500	6.2	64	1	500	6.4	128	1	1	0	1	1	1	1
23	700	6	64	2	400	5.8	256	1	600	6.4	32	4	2	0	1	1	1	1
23	600	6.2	256	3	500	6	32	2	500	5.8	32	2	1	0	1	1	1	1
23	500	5.8	128	2	500	6	64	2	400	6.2	128	3	3	0	1	1	1	1
23	400	6.2	32	1	600	5.8	128	4	700	6	64	3	1	0	1	1	1	1
23	700	6	128	3	700	6.2	128	3	400	6.2	32	1	3	0	1	1	1	1
