ID	ID2	STORES1	TRANSPORT1	CITY1	NOISE1	GREEN1	FOREIGN1	STORES2	TRANSPORT2	CITY2	NOISE2	GREEN2	FOREIGN2	STORES3	TRANSPORT3	CITY3	NOISE3	GREEN3	FOREIGN3	CHOICE	SSTADT	RESPCITY	WOMAN	AGE	ENVCONC	COMPLETE
6292	25166	5	10	5	3	3	0.1	10	15	1	4	4	0.2	15	2	2	1	1	0.3	3	3	3	0	30	4	1
6292	25167	2	5	4	3	4	0.3	5	10	5	4	1	0.4	10	15	1	1	2	0.1	1	3	3	0	30	4	1
6292	25168	10	15	2	2	3	0.1	15	2	4	3	4	0.2	2	5	5	4	1	0.3	2	3	3	0	30	4	1
6293	25169	5	15	2	1	2	0.3	10	2	4	2	3	0.4	15	5	5	3	4	0.1	2	4	4	0	27	4	1
6293	25170	2	15	4	2	3	0.3	5	2	5	3	4	0.4	10	5	1	4	1	0.1	1	4	4	0	27	4	1
6293	25171	5	5	1	1	3	0.2	10	10	2	2	4	0.3	15	15	4	3	1	0.4	2	4	4	0	27	4	1
6293	25172	15	15	4	1	2	0.1	2	2	5	2	3	0.2	5	5	1	3	4	0.3	2	4	4	0	27	4	1
6294	25173	10	10	4	1	4	0.2	15	15	5	2	1	0.3	2	2	1	3	2	0.4	1	1	1	1	48	3.166666746	1
6294	25174	10	10	5	4	2	0.3	15	15	1	1	3	0.4	2	2	2	2	4	0.1	3	1	1	1	48	3.166666746	1
6294	25175	5	2	4	3	2	0.4	10	5	5	4	3	0.1	15	10	1	1	4	0.2	3	1	1	1	48	3.166666746	1
6294	25176	2	10	1	4	2	0.1	5	15	2	1	3	0.2	10	2	4	2	4	0.3	3	1	1	1	48	3.166666746	1
6303	25209	5	15	2	1	2	0.3	10	2	4	2	3	0.4	15	5	5	3	4	0.1	2	3	3	0	42	4.333333492	1
6303	25210	2	15	4	2	3	0.3	5	2	5	3	4	0.4	10	5	1	4	1	0.1	2	3	3	0	42	4.333333492	1
6303	25211	5	5	1	1	3	0.2	10	10	2	2	4	0.3	15	15	4	3	1	0.4	2	3	3	0	42	4.333333492	1
6303	25212	15	15	4	1	2	0.1	2	2	5	2	3	0.2	5	5	1	3	4	0.3	2	3	3	0	42	4.333333492	1
6310	25237	15	5	5	1	3	0.4	2	10	1	2	4	0.1	5	15	2	3	1	0.2	2	3	3	1	45	3.666666746	1
6310	25238	5	15	1	4	4	0.2	10	2	2	1	1	0.3	15	5	4	2	2	0.4	2	3	3	1	45	3.666666746	1
6310	25239	15	2	2	3	2	0.2	2	5	4	4	3	0.3	5	10	5	1	4	0.4	1	3	3	1	45	3.666666746	1
6310	25240	10	2	5	1	1	0.3	15	5	1	2	2	0.4	2	10	2	3	3	0.1	2	3	3	1	45	3.666666746	1
